gemeente,aantal_geregistreerde_personenautos_per_inwoner,aantal_geregistreerde_personenautos_per_huishouden,aantal_geregistreerde_personenautos_per_woning,bevolking_totaal_aantal,huishoudens_aantal,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_huishouden,woningdichtheid_aantal_woningen_per_hectare,provincie,gemeente_code,afstand_tot_huisartsenpraktijk,huisartsenpraktijken_binnen_1km,huisartsenpraktijken_binnen_3km,huisartsenpraktijken_binnen_5km,afstand_tot_ziekenhuis,ziekenhuizen_binnen_5km,ziekenhuizen_binnen_10km,ziekenhuizen_binnen_20km,afstand_tot_supermarkt,supermarkten_binnen_1km,supermarkten_binnen_3km,supermarkten_binnen_5km,afstand_tot_restaurant,restaurants_binnen_1km,restaurants_binnen_3km,restaurants_binnen_5km,sportvoorzieningen_binnen_5km,sportvoorzieningen_binnen_10km,sportvoorzieningen_binnen_20km,afstand_tot_kinderopvang,kinderopvang_binnen_1km,kinderopvang_binnen_3km,kinderopvang_binnen_5km,afstand_tot_basisschool,basisschool_binnen_1km,basisschool_binnen_3km,basisschool_binnen_5km,afstand_tot_voortgezet_onderwijs,voortgezet_onderwijs_binnen_3km,voortgezet_onderwijs_binnen_5km,voortgezet_onderwijs_binnen_10km,afstand_tot_oprit_snelweg,afstand_tot_treinstation,afstand_tot_belangrijk_knooppunt
Aa en Hunze,0.6,1.36,1.35,25724,11327,32800.0,74500.0,0.41,Drenthe,GM1680    ,     2.4,     0.4,     0.8,     1.6,    10.9,     0.0,     0.6,     3.1,     2.2,     0.7,     1.4,     2.6,     1.0,     1.8,     4.1,     9.0,     2.1,     8.0,    30.9,     1.1,     1.2,     2.7,     4.8,     1.2,     0.8,     1.8,     3.6,     5.7,     0.2,     0.4,     3.4,     1.5,    12.4,    14.4
Aalsmeer,0.52,1.2,1.27,33063,14199,36000.0,83800.0,6.7,Noord-Holland,GM0358    ,     0.9,     1.0,     3.4,     9.0,     5.2,     0.4,     1.7,    12.7,     0.8,     1.2,     4.8,    11.0,     0.7,     3.6,    16.0,    36.8,     7.5,    35.6,   391.2,     0.6,     1.3,     5.7,    16.1,     0.8,     1.4,     3.9,     9.9,     2.5,     0.9,     2.8,    12.9,     1.3,     8.2,     8.9
Aalten,0.54,1.26,1.21,27244,11685,28900.0,67400.0,1.26,Gelderland,GM0197    ,     1.5,     1.1,     2.6,     3.2,    13.7,     0.0,     0.1,     1.8,     1.4,     0.9,     2.2,     3.2,     0.9,     3.4,     8.1,    12.0,     1.5,     4.2,    15.6,     0.8,     1.6,     4.2,     7.8,     0.8,     1.8,     4.5,     7.3,     1.8,     1.3,     1.6,     3.7,     1.0,     4.4,    41.2
Achtkarspelen,0.54,1.27,1.24,28149,12029,26000.0,60800.0,1.2,Fryslân,GM0059    ,     1.6,     0.6,     1.5,     3.0,    15.6,     0.0,     0.0,     0.7,     1.7,     0.9,     2.5,     4.0,     1.4,     1.4,     3.7,     6.2,     0.2,     2.7,    16.7,     0.8,     1.1,     2.9,     6.6,     0.7,     1.5,     3.2,     7.1,     3.5,     0.6,     1.1,     4.3,     1.3,     7.3,    27.0
Alblasserdam,0.46,1.11,1.12,20356,8484,30200.0,72500.0,9.63,Zuid-Holland,GM0482    ,     0.9,     0.8,     2.4,     6.1,     7.9,     0.0,     3.3,    21.6,     0.6,     1.8,     5.0,     7.1,     0.7,     3.8,    14.1,    24.0,     1.5,     3.6,    83.4,     0.5,     2.9,     8.9,    15.5,     0.5,     2.0,     5.9,    11.2,     4.8,     0.0,     1.5,    16.1,     2.3,     8.4,    11.4
Albrandswaard,0.49,1.22,1.21,26357,10610,38100.0,94600.0,4.95,Zuid-Holland,GM0613    ,     0.9,     0.9,     4.4,    10.9,     5.9,     0.5,     5.8,    21.9,     0.9,     0.9,     5.1,    17.9,     0.9,     1.3,     9.8,    29.8,     2.7,    39.0,    97.7,     0.8,     1.2,    11.1,    29.1,     0.8,     1.0,     6.8,    15.8,     3.8,     0.3,     4.5,    36.7,     1.6,     9.1,    10.9
Alkmaar,0.53,1.11,1.12,111834,53822,32500.0,67500.0,4.84,Noord-Holland,GM0361    ,     1.0,     1.5,     9.3,    17.8,     3.9,     1.9,     4.1,     6.6,     0.9,     1.8,    11.1,    21.3,     0.8,    10.7,    70.0,   106.9,     9.1,    31.1,    70.7,     0.6,     2.6,    18.4,    40.0,     0.7,     1.7,    10.9,    23.7,     2.2,     4.8,     9.9,    20.4,     1.2,     3.1,     4.0
Almelo,0.49,1.08,1.06,73949,33373,27900.0,61800.0,5.07,Overijssel,GM0141    ,     1.2,     1.1,     7.3,    13.0,     4.1,     0.7,     1.0,     5.0,     0.9,     1.8,    10.6,    19.0,     0.8,     4.6,    34.1,    58.5,     2.9,     5.0,    37.3,     0.6,     1.8,    12.1,    24.0,     0.8,     1.5,     8.8,    17.7,     1.5,     4.6,     9.0,    12.3,     2.6,     2.3,     2.8
Almere,1.16,2.72,2.84,222825,94739,32200.0,75700.0,7.02,Flevoland,GM0034    ,     1.1,     0.8,     4.7,    10.0,     4.4,     0.7,     1.6,     3.2,     0.8,     1.3,     8.3,    17.4,     0.9,     4.5,    34.0,    71.7,     3.3,     7.0,    15.9,     0.5,     3.7,    24.1,    52.9,     0.7,     1.9,    11.9,    25.7,     1.6,     2.9,     6.1,    13.6,     1.7,     2.2,     5.0
Alphen aan den Rijn,0.49,1.1,1.11,114182,50212,33800.0,76900.0,3.97,Zuid-Holland,GM0484    ,     0.9,     1.0,     4.8,     8.8,     4.2,     0.7,     1.6,    10.3,     1.0,     1.2,     7.4,    13.0,     0.8,     3.8,    30.8,    54.1,     2.4,     6.9,    48.9,     0.6,     2.6,    15.2,    26.8,     0.7,     2.0,    11.1,    18.9,     1.7,     4.2,     6.5,    12.0,     1.7,     3.4,    14.7
