ID;DistrictsAndNeighbourhoods;MunicipalityName_1;DistanceToGPPractice_5;Within1Km_6;Within3Km_7;Within5Km_8;DistanceToHospital_11;Within5Km_12;Within10Km_13;Within20Km_14;DistanceToLargeSupermarket_24;Within1Km_25;Within3Km_26;Within5Km_27;DistanceToRestaurant_44;Within1Km_45;Within3Km_46;Within5Km_47;Within5Km_49;Within105km_50;Within20Km_51
0;NL00      ;Nederland                               ;     1.1;     1.2;     7.7;    16.8;     4.9;     1.1;     2.9;     8.6;     1.0;     1.8;    11.0;    23.8;     0.8;     8.0;    66.1;   145.3;    17.5;    42.2;    98.5
1;GM1680    ;Aa en Hunze                             ;     2.4;     0.4;     0.8;     1.6;    10.9;     0.0;     0.6;     3.1;     2.2;     0.7;     1.4;     2.6;     1.0;     1.8;     4.1;     9.0;     2.1;     8.0;    30.9
2;WK168000  ;Aa en Hunze                             ;     0.9;     0.7;     1.0;     2.8;    14.5;     0.0;     0.0;     4.2;     0.9;     1.3;     2.5;     4.7;     0.7;     2.7;     4.8;    12.1;     3.5;     9.9;    30.7
3;BU16800000;Aa en Hunze                             ;     0.8;     0.7;     1.0;     2.9;    14.6;     0.0;     0.0;     4.2;     0.8;     1.4;     2.5;     4.8;     0.7;     2.8;     4.8;    12.3;     3.5;    10.0;    30.7
4;BU16800009;Aa en Hunze                             ;     2.6;     0.0;     0.7;     1.3;    13.8;     0.0;     0.0;     4.9;     2.1;     0.1;     1.9;     3.0;     1.6;     0.2;     4.2;     7.1;     2.6;     8.5;    29.6
5;WK168001  ;Aa en Hunze                             ;     3.8;     0.0;     0.0;     2.0;    14.8;     0.0;     0.0;     4.0;     0.9;     0.7;     1.0;     3.4;     0.8;     0.9;     2.0;     7.0;     4.8;     6.7;    29.4
6;BU16800100;Aa en Hunze                             ;     3.8;     0.0;     0.0;     2.0;    14.7;     0.0;     0.0;     4.0;     0.6;     0.8;     1.0;     3.3;     0.6;     1.0;     2.0;     6.8;     5.0;     6.5;    29.3
7;BU16800109;Aa en Hunze                             ;     3.6;     0.0;     0.4;     2.1;    15.5;     0.0;     0.0;     4.0;     2.6;     0.0;     1.2;     3.8;     2.2;     0.0;     2.2;     8.1;     3.4;     8.0;    29.8
8;WK168002  ;Aa en Hunze                             ;     2.2;     0.0;     1.0;     1.0;    12.3;     0.0;     0.0;     4.0;     2.7;     0.0;     1.8;     2.1;     0.5;     1.0;     4.7;     6.0;     2.0;    10.8;    31.9
9;BU16800200;Aa en Hunze                             ;     2.2;     0.0;     1.0;     1.0;    12.3;     0.0;     0.0;     4.0;     2.7;     0.0;     1.9;     2.1;     0.5;     1.0;     4.7;     6.0;     2.0;    10.9;    32.0
