ID;DistrictsAndNeighbourhoods;MunicipalityName_1;DistanceToDaycareCentres_52;Within1Km_53;Within3Km_54;Within5Km_55;DistanceToSchool_60;Within1Km_61;Within3Km_62;Within5Km_63;DistanceToSchool_64;Within3Km_65;Within5Km_66;Within10Km_67;DistanceToMainRoadEntrance_89;DistanceToTrainStationAllTypes_90;DistanceToImportantTransferStation_91
0;NL00      ;Nederland                               ;     0.7;     2.8;    19.1;    43.5;     0.8;     1.7;     9.9;    22.0;     2.5;     3.6;     7.8;    20.0;     1.9;     5.3;    10.8
1;GM1680    ;Aa en Hunze                             ;     1.1;     1.2;     2.7;     4.8;     1.2;     0.8;     1.8;     3.6;     5.7;     0.2;     0.4;     3.4;     1.5;    12.4;    14.4
2;WK168000  ;Aa en Hunze                             ;     0.5;     1.9;     4.2;     6.2;     0.8;     0.7;     2.5;     4.8;     7.6;     0.0;     0.0;     1.0;     1.5;    13.3;    14.3
3;BU16800000;Aa en Hunze                             ;     0.5;     2.0;     4.2;     6.2;     0.8;     0.7;     2.5;     4.9;     7.6;     0.0;     0.0;     1.0;     1.5;    13.2;    14.2
4;BU16800009;Aa en Hunze                             ;     1.8;     0.0;     2.5;     5.9;     2.0;     0.0;     1.2;     3.5;     7.1;     0.0;     0.1;     1.0;     2.6;    13.7;    15.3
5;WK168001  ;Aa en Hunze                             ;     1.3;     0.2;     1.1;     5.1;     1.1;     0.6;     1.0;     4.2;     3.9;     0.0;     1.0;     1.0;     3.9;    13.8;    13.8
6;BU16800100;Aa en Hunze                             ;     1.2;     0.3;     1.0;     5.0;     0.9;     0.7;     1.0;     4.2;     3.9;     0.0;     1.0;     1.0;     3.9;    13.6;    13.6
7;BU16800109;Aa en Hunze                             ;     2.0;     0.0;     1.6;     5.7;     2.1;     0.1;     1.3;     3.6;     4.2;     0.2;     0.8;     1.0;     3.6;    15.4;    15.6
8;WK168002  ;Aa en Hunze                             ;     2.5;     0.0;     2.0;     4.1;     0.5;     1.0;     2.0;     2.4;     8.4;     0.0;     0.0;     1.0;     1.0;    11.8;    11.8
9;BU16800200;Aa en Hunze                             ;     2.5;     0.0;     2.1;     4.1;     0.5;     1.0;     2.0;     2.4;     8.4;     0.0;     0.0;     1.0;     1.0;    11.8;    11.8
10;BU16800209;Aa en Hunze                             ;     2.6;     0.0;     1.8;     4.1;     0.9;     0.8;     1.9;     2.3;     8.5;     0.0;     0.0;     1.0;     1.1;    12.2;    12.2
11;WK168003  ;Aa en Hunze                             ;     5.3;     0.0;     0.0;     0.2;     2.8;     0.0;     0.7;     1.1;     8.3;     0.0;     0.0;     5.9;     3.8;     9.0;     9.0
12;BU16800300;Aa en Hunze                             ;     5.3;     0.0;     0.0;     0.1;     2.9;     0.0;     0.7;     1.1;     8.2;     0.0;     0.0;     6.0;     3.8;     9.0;     9.0
